,feat,feattype,map_estimate,is_sturdy,Feature Type,symbol
9381,4641,gene,0.0,True,Gene,MYO1C
9382,4642,gene,0.0,True,Gene,MYO1D
9383,4643,gene,0.0,True,Gene,MYO1E
9384,4644,gene,0.0,True,Gene,MYO5A
9385,4645,gene,0.0,True,Gene,MYO5B
9386,4646,gene,0.0,True,Gene,MYO6
9387,4647,gene,0.0,True,Gene,MYO7A
9388,4648,gene,0.0,True,Gene,MYO7B
9389,4649,gene,0.0,True,Gene,MYO9A
9390,4650,gene,0.0,True,Gene,MYO9B
9391,4651,gene,0.0,True,Gene,MYO10
9392,4653,gene,0.0,True,Gene,MYOC
9393,4656,gene,0.0,True,Gene,MYOG
9394,4659,gene,0.0,True,Gene,PPP1R12A
9395,466,gene,0.0,True,Gene,ATF1
9396,4660,gene,0.0,True,Gene,PPP1R12B
9397,4661,gene,0.0,True,Gene,MYT1
9398,4664,gene,0.0,True,Gene,NAB1
9399,4665,gene,0.0,True,Gene,NAB2
9400,4666,gene,0.0,True,Gene,NACA
9401,4668,gene,0.0,True,Gene,NAGA
9402,4669,gene,0.0,True,Gene,NAGLU
9403,467,gene,0.0,True,Gene,ATF3
9404,4670,gene,0.0,True,Gene,HNRNPM
9405,4671,gene,0.0,True,Gene,NAIP
9406,4673,gene,0.0,True,Gene,NAP1L1
9407,4674,gene,0.0,True,Gene,NAP1L2
9408,4675,gene,0.0,True,Gene,NAP1L3
9409,4676,gene,0.0,True,Gene,NAP1L4
9410,4677,gene,0.0,True,Gene,NARS1
9411,4678,gene,0.0,True,Gene,NASP
9412,468,gene,0.0,True,Gene,ATF4
9413,4680,gene,0.0,True,Gene,CEACAM6
9414,4681,gene,0.0,True,Gene,NBL1
9415,4682,gene,0.0,True,Gene,NUBP1
9416,4683,gene,0.0,True,Gene,NBN
9417,4684,gene,0.0,True,Gene,NCAM1
9418,4685,gene,0.0,True,Gene,NCAM2
9419,4686,gene,0.0,True,Gene,NCBP1
9420,4688,gene,0.0,True,Gene,NCF2
9421,4689,gene,0.0,True,Gene,NCF4
9422,4690,gene,0.0,True,Gene,NCK1
9423,4691,gene,0.0,True,Gene,NCL
9424,4692,gene,0.0,True,Gene,NDN
9425,4693,gene,0.0,True,Gene,NDP
9426,4694,gene,0.0,True,Gene,NDUFA1
9427,4695,gene,0.0,True,Gene,NDUFA2
9428,4696,gene,0.0,True,Gene,NDUFA3
9429,4697,gene,0.0,True,Gene,NDUFA4
9430,4698,gene,0.0,True,Gene,NDUFA5
9431,47,gene,0.0,True,Gene,ACLY
9432,4700,gene,0.0,True,Gene,NDUFA6
9433,4701,gene,0.0,True,Gene,NDUFA7
9434,4702,gene,0.0,True,Gene,NDUFA8
9435,4703,gene,0.0,True,Gene,NEB
9436,4704,gene,0.0,True,Gene,NDUFA9
9437,4705,gene,0.0,True,Gene,NDUFA10
9438,4706,gene,0.0,True,Gene,NDUFAB1
9439,4707,gene,0.0,True,Gene,NDUFB1
9440,4708,gene,0.0,True,Gene,NDUFB2
9441,4709,gene,0.0,True,Gene,NDUFB3
9442,471,gene,0.0,True,Gene,ATIC
9443,4710,gene,0.0,True,Gene,NDUFB4
9444,4711,gene,0.0,True,Gene,NDUFB5
9445,4712,gene,0.0,True,Gene,NDUFB6
9446,4713,gene,0.0,True,Gene,NDUFB7
9447,4714,gene,0.0,True,Gene,NDUFB8
9448,4715,gene,0.0,True,Gene,NDUFB9
9449,4716,gene,0.0,True,Gene,NDUFB10
9450,4717,gene,0.0,True,Gene,NDUFC1
9451,4718,gene,0.0,True,Gene,NDUFC2
9452,4719,gene,0.0,True,Gene,NDUFS1
9453,472,gene,0.0,True,Gene,ATM
9454,4720,gene,0.0,True,Gene,NDUFS2
9455,4722,gene,0.0,True,Gene,NDUFS3
9456,4723,gene,0.0,True,Gene,NDUFV1
9457,4724,gene,0.0,True,Gene,NDUFS4
9458,4725,gene,0.0,True,Gene,NDUFS5
9459,4726,gene,0.0,True,Gene,NDUFS6
9460,4728,gene,0.0,True,Gene,NDUFS8
9461,4729,gene,0.0,True,Gene,NDUFV2
9462,473,gene,0.0,True,Gene,RERE
9463,4731,gene,0.0,True,Gene,NDUFV3
9464,4733,gene,0.0,True,Gene,DRG1
9465,4734,gene,0.0,True,Gene,NEDD4
9466,4735,gene,0.0,True,Gene,SEPTIN2
9467,4736,gene,0.0,True,Gene,RPL10A
9468,4738,gene,0.0,True,Gene,NEDD8
9469,4739,gene,0.0,True,Gene,NEDD9
9470,474,gene,0.0,True,Gene,ATOH1
9471,4741,gene,0.0,True,Gene,NEFM
9472,474170,gene,0.0,True,Gene,LRRC37A2
9473,474343,gene,0.0,True,Gene,SPIN2B
9474,474344,gene,0.0,True,Gene,GIMAP6
9475,474354,gene,0.0,True,Gene,LRRC18
9476,474381,gene,0.0,True,Gene,H2AB2
9477,474384,gene,0.0,True,Gene,F8A3
9478,4744,gene,0.0,True,Gene,NEFH
9479,4745,gene,0.0,True,Gene,NELL1
9480,4747,gene,0.0,True,Gene,NEFL
9481,475,gene,0.0,True,Gene,ATOX1
9482,4750,gene,0.0,True,Gene,NEK1
9483,4751,gene,0.0,True,Gene,NEK2
9484,4752,gene,0.0,True,Gene,NEK3
9485,4753,gene,0.0,True,Gene,NELL2
9486,4756,gene,0.0,True,Gene,NEO1
9487,4758,gene,0.0,True,Gene,NEU1
9488,4759,gene,0.0,True,Gene,NEU2
9489,476,gene,0.0,True,Gene,ATP1A1
9490,4760,gene,0.0,True,Gene,NEUROD1
9491,4761,gene,0.0,True,Gene,NEUROD2
9492,4762,gene,0.0,True,Gene,NEUROG1
9493,4763,gene,0.0,True,Gene,NF1
9494,477,gene,0.0,True,Gene,ATP1A2
9495,4771,gene,0.0,True,Gene,NF2
9496,4772,gene,0.0,True,Gene,NFATC1
9497,4773,gene,0.0,True,Gene,NFATC2
9498,4774,gene,0.0,True,Gene,NFIA
9499,4775,gene,0.0,True,Gene,NFATC3
9500,4776,gene,0.0,True,Gene,NFATC4
9501,4778,gene,0.0,True,Gene,NFE2
9502,4779,gene,0.0,True,Gene,NFE2L1
9503,478,gene,0.0,True,Gene,ATP1A3
9504,4780,gene,0.0,True,Gene,NFE2L2
9505,4781,gene,0.0,True,Gene,NFIB
9506,4782,gene,0.0,True,Gene,NFIC
9507,4783,gene,0.0,True,Gene,NFIL3
9508,4784,gene,0.0,True,Gene,NFIX
9509,479,gene,0.0,True,Gene,ATP12A
9510,4790,gene,0.0,True,Gene,NFKB1
9511,4791,gene,0.0,True,Gene,NFKB2
9512,4792,gene,0.0,True,Gene,NFKBIA
9513,4793,gene,0.0,True,Gene,NFKBIB
9514,4794,gene,0.0,True,Gene,NFKBIE
9515,4795,gene,0.0,True,Gene,NFKBIL1
9516,4796,gene,0.0,True,Gene,TONSL
9517,4798,gene,0.0,True,Gene,NFRKB
9518,4799,gene,0.0,True,Gene,NFX1
9519,48,gene,0.0,True,Gene,ACO1
9520,480,gene,0.0,True,Gene,ATP1A4
9521,4800,gene,0.0,True,Gene,NFYA
9522,4801,gene,0.0,True,Gene,NFYB
9523,4802,gene,0.0,True,Gene,NFYC
9524,4803,gene,0.0,True,Gene,NGF
9525,4804,gene,0.0,True,Gene,NGFR
9526,4807,gene,0.0,True,Gene,NHLH1
9527,4808,gene,0.0,True,Gene,NHLH2
9528,4809,gene,0.0,True,Gene,SNU13
9529,481,gene,0.0,True,Gene,ATP1B1
9530,4810,gene,0.0,True,Gene,NHS
9531,4811,gene,0.0,True,Gene,NID1
9532,4814,gene,0.0,True,Gene,NINJ1
9533,4815,gene,0.0,True,Gene,NINJ2
9534,4817,gene,0.0,True,Gene,NIT1
9535,4818,gene,0.0,True,Gene,NKG7
9536,482,gene,0.0,True,Gene,ATP1B2
9537,4820,gene,0.0,True,Gene,NKTR
9538,4821,gene,0.0,True,Gene,NKX2-2
9539,4824,gene,0.0,True,Gene,NKX3-1
